db2 table, postgres table, postgres view
GDSAPFIL.ACPP600K,accounting.check_header,accounting.check_header_view
GDSDSFIL.ORDP140C,operations.order_comment,
GDSSYFIL.ACPP100V,directory.vendor,
GDSSYFIL.ACRP100R,accounting.customer_payment,
GDSSYFIL.DSSP200C,directory.customer,
JVFIL.DSSP200I,directory.customer_volume_discount,
JVFIL.EXPP100A,accounting.expense_header,
JVFIL.EXPP120B,accounting.expense_item,
JVFIL.INVP200A,product.product_species,
JVFIL.INVP200B,product.product_variety
JVFIL.INVP200E,product.product_master
JVFIL.INVP205C,product.product_size
JVFIL.INVP220W,directory.warehouse
JVFIL.INVP509J,product.pack_master
JVFIL.INVP510K,directory.shipper
JVFIL.INVP511L,directory.country
JVFIL.INVP513N,product.pack_label
JVFIL.INVP514O,product.pack_special
JVFIL.INVP515P,product.pack_box_type
JVFIL.INVP516Q,product.pack_box_style
JVFIL.INVP517R,product.pack_style
JVFIL.INVP518S order by SHPR#S,product.pack_out
JVFIL.INVP519T,product.pack_production
JVFIL.INVP520U,product.pack_tree_ripe
JVFIL.INVP521V,product.pack_grade
JVFIL.INVP522W,product.pack_atmosphere
JVFIL.INVP523X,product.pack_liner
JVFIL.INVP524Y,product.pack_pallet_type
JVFIL.INVP525Z,product.pack_destination
JVFIL.INVP526A,product.pack_hold
JVFIL.ORDP100A,operations.order_master
JVFIL.ORDP120B,operations.order_items
JVFIL.ORDP170H,accounting.invoice_item_history
JVFIL.ORDP170U,accounting.invoice_item
JVFIL.ORDP7102,product.pallet_section
JVFIL.ORDP710V,product.pallet
JVFIL.ORDP710J,product.pallet
JVFIL.ORDP730X,product.inventory_items
JVFIL.ORDP740Y,operations.truck_load
JVFIL.ORDP750Z,product.vessel
JVFIL.ORDP900A,accounting.invoice_header
JVFIL.TEMP100H,operations.repack_header
JVFIL.TEMP110D,operations.repack_item
JVFIL.TEMP200S,product.repack_style
JVPREFIL.ORDP100A,operations.order_master
JVPREFIL.ORDP120B,operations.order_item
JVPREFIL.ORDP730X,product.inventoryItems
JVPREFIL.ORDP750Z,product.vessel